Bulan,Pendapatan,Biaya Ops,Profit Bersih,Kumulatif Profit,Status
1,2000000,200000,1800000,1800000,On Process
2,2000000,200000,1800000,3600000,On Process
3,2000000,200000,1800000,5400000,On Process
4,2000000,200000,1800000,7200000,On Process
5,2000000,200000,1800000,9000000,On Process
6,2000000,200000,1800000,10800000,BEP
7,2000000,200000,1800000,12600000,BEP
8,2000000,200000,1800000,14400000,BEP
9,2000000,200000,1800000,16200000,BEP
10,2000000,200000,1800000,18000000,BEP
11,2000000,200000,1800000,19800000,BEP
12,2000000,200000,1800000,21600000,BEP
